Starting tumor growth prediction pipeline for Patient-042

--- Phase 1: Fitting FK parameters using week 49 ---
Loading data for week 49...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-049
Running FK parameter optimization with 15 generations...
Starting CMA-ES optimization with 15 generations...
generations  1 / 16
Running forward model with parameters: Dw=0.9437, rho=0.000100, time=50.1
   1.29228359  0.48920545]
 [ 0.19621933  0.03497122  0.05309608 -0.11851949 -0.32839033  0.21872903
   0.48920545  1.33526336]]
Warning: Could not convert parameters to float: [[ 9.27798808e-01  8.70577010e-05  1.76964519e-01  2.87360681e-02
  -1.47041967e-01  7.55244890e-02  2.04277998e-01  2.38343816e-01]
 [ 8.70577010e-05  8.72428103e-01 -2.03504101e-02 -1.66600981e-02
  -3.73700322e-02  1.53722327e-01  5.29787118e-02  5.06821870e-02]
 [ 1.76964519e-01 -2.03504101e-02  9.15016649e-01 -2.20718703e-02
  -1.00930815e-01 -3.59990370e-02  8.07749270e-02  9.69747541e-02]
 [ 2.87360681e-02 -1.66600981e-02 -2.20718703e-02  7.82198402e-01
   4.32090540e-02 -2.82297937e-02 -2.60951432e-02 -9.88857564e-02]
 [-1.47041967e-01 -3.73700322e-02 -1.00930815e-01  4.32090540e-02
   9.87851965e-01 -8.16326009e-02 -2.77131413e-01 -3.80326091e-01]
 [ 7.55244890e-02  1.53722327e-01 -3.59990370e-02 -2.82297937e-02
  -8.16326009e-02  1.05106541e+00  3.10299219e-01  2.70491717e-01]
 [ 2.04277998e-01  5.29787118e-02  8.07749270e-02 -2.60951432e-02
  -2.77131413e-01  3.10299219e-01  1.26690008e+00  4.90721515e-01]
 [ 2.38343816e-01  5.06821870e-02  9.69747541e-02 -9.88857564e-02
  -3.80326091e-01  2.70491717e-01  4.90721515e-01  1.37028060e+00]]
Warning: Could not convert parameters to float: [[ 0.90696382 -0.00930523  0.1640892   0.03630789 -0.14845882  0.06938345
   0.19529719  0.23620326]
 [-0.00930523  0.85765032 -0.01380793 -0.01652032 -0.04042915  0.15553161
   0.06178824  0.0563097 ]
 [ 0.1640892  -0.01380793  0.88331701 -0.02215099 -0.09444191 -0.03360654
   0.0791151   0.09217801]
 [ 0.03630789 -0.01652032 -0.02215099  0.77908285  0.03988627 -0.03814884
  -0.02992491 -0.08348116]
 [-0.14845882 -0.04042915 -0.09444191  0.03988627  0.97365948 -0.08185328
  -0.28280051 -0.38661616]
 [ 0.06938345  0.15553161 -0.03360654 -0.03814884 -0.08185328  1.0237018
   0.30859882  0.26149481]
 [ 0.19529719  0.06178824  0.0791151  -0.02992491 -0.28280051  0.30859882
   1.23714481  0.48702796]
 [ 0.23620326  0.0563097   0.09217801 -0.08348116 -0.38661616  0.26149481
   0.48702796  1.34146079]]
Warning: Could not convert parameters to float: [[ 0.89887287 -0.02428608  0.17354861  0.03645659 -0.17589474  0.05874242
   0.19032895  0.24017807]
 [-0.02428608  0.84094793 -0.01876547 -0.00594684 -0.01088099  0.1455444
   0.0634023   0.04000678]
 [ 0.17354861 -0.01876547  0.86451925 -0.01616296 -0.10915782 -0.0447318
   0.07499329  0.09376378]
 [ 0.03645659 -0.00594684 -0.01616296  0.76721044  0.05320128 -0.04817179
  -0.01901444 -0.09082451]
 [-0.17589474 -0.01088099 -0.10915782  0.05320128  0.99589075 -0.07407016
  -0.26364697 -0.39838485]
 [ 0.05874242  0.1455444  -0.0447318  -0.04817179 -0.07407016  1.0197707
   0.29658782  0.2585199 ]
 [ 0.19032895  0.0634023   0.07499329 -0.01901444 -0.26364697  0.29658782
   1.20090868  0.46406541]
 [ 0.24017807  0.04000678  0.09376378 -0.09082451 -0.39838485  0.2585199
   0.46406541  1.30447721]]
Warning: Could not convert parameters to float: [[ 0.90664543 -0.03235754  0.13174363  0.04564167 -0.18811048  0.04837923
   0.19300827  0.2392041 ]
 [-0.03235754  0.83832304  0.00189982  0.01792785 -0.00355007  0.16158305
   0.05921872  0.03019201]
 [ 0.13174363  0.00189982  0.9001899  -0.02049629 -0.08106065 -0.030021
   0.06319267  0.07561457]
 [ 0.04564167  0.01792785 -0.02049629  0.76878898  0.04408078 -0.02677636
  -0.01313596 -0.08201829]
 [-0.18811048 -0.00355007 -0.08106065  0.04408078  0.9757293  -0.07317249
  -0.26111282 -0.40295379]
 [ 0.04837923  0.16158305 -0.030021   -0.02677636 -0.07317249  1.00382495
   0.28577124  0.25433294]
 [ 0.19300827  0.05921872  0.06319267 -0.01313596 -0.26111282  0.28577124
   1.15967424  0.45604397]
 [ 0.2392041   0.03019201  0.07561457 -0.08201829 -0.40295379  0.25433294
   0.45604397  1.28974765]]

FK parameter fitting completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_49_60/fk
Optimized parameters: Dw=0.9419130334561572, rho=0.006844634895402674, model_time=50.259159921275256

--- Phase 2: Fitting time scale using week 60 ---
Loading data for week 60...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-060
Running time scale optimization with 15 generations...
generations  1 / 16
Running with time scale: 0.1125, model time: 51.5
Generation 1, Scale: 0.1125, Loss: 0.772188, Time: 9.50s
Running with time scale: 1.1009, model time: 62.4
Generation 1, Scale: 1.1009, Loss: 0.782296, Time: 9.93s
Running with time scale: 0.6690, model time: 57.6
Generation 1, Scale: 0.6690, Loss: 0.778243, Time: 9.43s
generations  2 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 2, Scale: 0.1000, Loss: 0.771839, Time: 9.35s
Running with time scale: 0.1000, model time: 51.4
Generation 2, Scale: 0.1000, Loss: 0.771839, Time: 9.32s
Running with time scale: 0.1000, model time: 51.4
Generation 2, Scale: 0.1000, Loss: 0.771839, Time: 9.10s
generations  3 / 16
Running with time scale: 0.2843, model time: 53.4
Generation 3, Scale: 0.2843, Loss: 0.773723, Time: 9.47s
Running with time scale: 0.1000, model time: 51.4
Generation 3, Scale: 0.1000, Loss: 0.771839, Time: 9.37s
Running with time scale: 0.6924, model time: 57.9
Generation 3, Scale: 0.6924, Loss: 0.778674, Time: 8.99s
generations  4 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 4, Scale: 0.1000, Loss: 0.771839, Time: 9.49s
Running with time scale: 0.1000, model time: 51.4
Generation 4, Scale: 0.1000, Loss: 0.771839, Time: 9.36s
Running with time scale: 2.3341, model time: 75.9
Generation 4, Scale: 2.3341, Loss: 0.790365, Time: 10.37s
generations  5 / 16
Running with time scale: 0.1371, model time: 51.8
Generation 5, Scale: 0.1371, Loss: 0.772266, Time: 9.41s
Running with time scale: 0.1000, model time: 51.4
Generation 5, Scale: 0.1000, Loss: 0.771839, Time: 9.36s
Running with time scale: 0.1000, model time: 51.4
Generation 5, Scale: 0.1000, Loss: 0.771839, Time: 9.10s
generations  6 / 16
Running with time scale: 0.1913, model time: 52.4
Generation 6, Scale: 0.1913, Loss: 0.772824, Time: 9.41s
Running with time scale: 0.1000, model time: 51.4
Generation 6, Scale: 0.1000, Loss: 0.771839, Time: 9.24s
Running with time scale: 1.2766, model time: 64.3
Generation 6, Scale: 1.2766, Loss: 0.784128, Time: 9.88s
generations  7 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 7, Scale: 0.1000, Loss: 0.771839, Time: 9.36s
Running with time scale: 0.8835, model time: 60.0
Generation 7, Scale: 0.8835, Loss: 0.780152, Time: 9.69s
Running with time scale: 0.1000, model time: 51.4
Generation 7, Scale: 0.1000, Loss: 0.771839, Time: 9.21s
generations  8 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 8, Scale: 0.1000, Loss: 0.771839, Time: 9.34s
Running with time scale: 0.1000, model time: 51.4
Generation 8, Scale: 0.1000, Loss: 0.771839, Time: 9.31s
Running with time scale: 0.1000, model time: 51.4
Generation 8, Scale: 0.1000, Loss: 0.771839, Time: 9.09s
generations  9 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 9, Scale: 0.1000, Loss: 0.771839, Time: 9.45s
Running with time scale: 0.1000, model time: 51.4
Generation 9, Scale: 0.1000, Loss: 0.771839, Time: 9.17s
Running with time scale: 1.3679, model time: 65.3
Generation 9, Scale: 1.3679, Loss: 0.784747, Time: 9.89s
generations  10 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 10, Scale: 0.1000, Loss: 0.771839, Time: 9.45s
Running with time scale: 0.1000, model time: 51.4
Generation 10, Scale: 0.1000, Loss: 0.771839, Time: 9.33s
Running with time scale: 0.8909, model time: 60.1
Generation 10, Scale: 0.8909, Loss: 0.780435, Time: 9.26s
generations  11 / 16
Running with time scale: 1.0370, model time: 61.7
Generation 11, Scale: 1.0370, Loss: 0.781654, Time: 9.94s
Running with time scale: 1.5180, model time: 67.0
Generation 11, Scale: 1.5180, Loss: 0.786068, Time: 10.07s
Running with time scale: 7.2507, model time: 130.0
Generation 11, Scale: 7.2507, Loss: 0.793484, Time: 11.93s
generations  12 / 16
Running with time scale: 0.6110, model time: 57.0
Generation 12, Scale: 0.6110, Loss: 0.777652, Time: 9.67s
Running with time scale: 0.1404, model time: 51.8
Generation 12, Scale: 0.1404, Loss: 0.772271, Time: 9.31s
Running with time scale: 0.1000, model time: 51.4
Generation 12, Scale: 0.1000, Loss: 0.771839, Time: 8.98s
generations  13 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 13, Scale: 0.1000, Loss: 0.771839, Time: 9.49s
Running with time scale: 0.1000, model time: 51.4
Generation 13, Scale: 0.1000, Loss: 0.771839, Time: 9.19s
Running with time scale: 5.1985, model time: 107.4
Generation 13, Scale: 5.1985, Loss: 0.795332, Time: 10.96s
generations  14 / 16
Running with time scale: 0.1000, model time: 51.4
Generation 14, Scale: 0.1000, Loss: 0.771839, Time: 9.40s
Running with time scale: 0.1000, model time: 51.4
Generation 14, Scale: 0.1000, Loss: 0.771839, Time: 9.05s
Running with time scale: 9.3319, model time: 152.9
Generation 14, Scale: 9.3319, Loss: 0.788981, Time: 12.29s
generations  15 / 16
Running with time scale: 1.3438, model time: 65.0
Generation 15, Scale: 1.3438, Loss: 0.784268, Time: 10.07s
Running with time scale: 0.1000, model time: 51.4
Generation 15, Scale: 0.1000, Loss: 0.771839, Time: 9.41s
Running with time scale: 5.6640, model time: 112.6
Generation 15, Scale: 5.6640, Loss: 0.795118, Time: 11.25s
Time scale optimization completed. Best loss: 0.771839
Best time scale: 0.100000
Running with time scale: 0.1000, model time: 51.4

Time scale fitting completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_49_60/scale
Optimized time scale: 0.1000

--- Phase 3: Testing prediction on week 60 ---
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-060
Predicting tumor at time 60 (reference: 49)
Physical time difference: 11
Time scale: 0.1000
Model time: 51.4
Number of simulation timesteps: 290
Test prediction Dice coefficient: 0.2284

Test prediction completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_49_60/test

Pipeline completed successfully!
Summary report generated: /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_49_60/reports/Patient-042_summary_report.html
