Starting tumor growth prediction pipeline for Patient-042

--- Phase 1: Fitting FK parameters using week 60 ---
Loading data for week 60...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-060
Running FK parameter optimization with 15 generations...
Starting CMA-ES optimization with 15 generations...
generations  1 / 16
Running forward model with parameters: Dw=0.9437, rho=0.000100, time=50.1
 [ 0.09340893  0.04880205  0.01781823  0.05729836 -0.08451703  0.94643353
   0.36156027  0.14511851]
 [ 0.45283594  0.25500766  0.45374371  0.24655908 -0.97596909  0.36156027
   2.23737282  1.07933154]
 [ 0.3462647   0.13798168  0.26980469  0.0547252  -0.89670485  0.14511851
   1.07933154  1.80142222]]
Warning: Could not convert parameters to float: [[ 0.90274243  0.03427022  0.19743787  0.07676435 -0.35090782  0.11426598
   0.47429177  0.39256315]
 [ 0.03427022  0.86670357  0.09533014  0.01578744 -0.19951404  0.04593936
   0.22230096  0.10327053]
 [ 0.19743787  0.09533014  0.91402477  0.09795147 -0.36063009  0.04317765
   0.47140784  0.31421495]
 [ 0.07676435  0.01578744  0.09795147  0.82133405 -0.12997502  0.07072717
   0.26858427  0.09424502]
 [-0.35090782 -0.19951404 -0.36063009 -0.12997502  1.58940473 -0.13546183
  -1.04308909 -1.00351807]
 [ 0.11426598  0.04593936  0.04317765  0.07072717 -0.13546183  0.93792395
   0.38665031  0.19962127]
 [ 0.47429177  0.22230096  0.47140784  0.26858427 -1.04308909  0.38665031
   2.24318996  1.14578056]
 [ 0.39256315  0.10327053  0.31421495  0.09424502 -1.00351807  0.19962127
   1.14578056  1.89054563]]
Warning: Could not convert parameters to float: [[ 0.88118197  0.02456462  0.18765654  0.09102184 -0.35387511  0.10156589
   0.46351384  0.39694858]
 [ 0.02456462  0.85440019  0.10035336  0.01255673 -0.20067732  0.05341511
   0.23036118  0.10682216]
 [ 0.18765654  0.10035336  0.88426111  0.09761652 -0.35352251  0.0439981
   0.46338671  0.30929524]
 [ 0.09102184  0.01255673  0.09761652  0.84446122 -0.1523766   0.04510804
   0.27259557  0.13571942]
 [-0.35387511 -0.20067732 -0.35352251 -0.1523766   1.58613003 -0.1249518
  -1.04997701 -1.02360041]
 [ 0.10156589  0.05341511  0.0439981   0.04510804 -0.1249518   0.91892224
   0.37710173  0.17874505]
 [ 0.46351384  0.23036118  0.46338671  0.27259557 -1.04997701  0.37710173
   2.20325601  1.14686039]
 [ 0.39694858  0.10682216  0.30929524  0.13571942 -1.02360041  0.17874505
   1.14686039  1.88523772]]
Warning: Could not convert parameters to float: [[ 0.85723613  0.01522973  0.18390926  0.08587932 -0.35453048  0.10373686
   0.44925312  0.39043386]
 [ 0.01522973  0.84301705  0.0969949   0.02732257 -0.18401127  0.06593665
   0.24279767  0.09455085]
 [ 0.18390926  0.0969949   0.85417444  0.09524613 -0.34855028  0.04445527
   0.4497206   0.30198754]
 [ 0.08587932  0.02732257  0.09524613  0.82830526 -0.14272116  0.06996143
   0.28907323  0.12618185]
 [-0.35453048 -0.18401127 -0.34855028 -0.14272116  1.55475923 -0.11915844
  -1.01300565 -1.00069294]
 [ 0.10373686  0.06593665  0.04445527  0.06996143 -0.11915844  0.9556249
   0.41375344  0.16801543]
 [ 0.44925312  0.24279767  0.4497206   0.28907323 -1.01300565  0.41375344
   2.1691285   1.10097791]
 [ 0.39043386  0.09455085  0.30198754  0.12618185 -1.00069294  0.16801543
   1.10097791  1.82286539]]
Warning: Could not convert parameters to float: [[ 0.86757464  0.03002405  0.17486095  0.11511697 -0.36694636  0.1134627
   0.45414322  0.38807929]
 [ 0.03002405  0.83814508  0.09763465  0.07929038 -0.21675544  0.09617311
   0.26867462  0.14581623]
 [ 0.17486095  0.09763465  0.84520551  0.0942525  -0.34368194  0.05479042
   0.43835893  0.30255081]
 [ 0.11511697  0.07929038  0.0942525   0.90568808 -0.22591743  0.136191
   0.35256305  0.24385399]
 [-0.36694636 -0.21675544 -0.34368194 -0.22591743  1.58405748 -0.18285819
  -1.0404375  -1.08338362]
 [ 0.1134627   0.09617311  0.05479042  0.136191   -0.18285819  0.97524281
   0.44867023  0.25749865]
 [ 0.45414322  0.26867462  0.43835893  0.35256305 -1.0404375   0.44867023
   2.13989284  1.15045562]
 [ 0.38807929  0.14581623  0.30255081  0.24385399 -1.08338362  0.25749865
   1.15045562  1.9361294 ]]

FK parameter fitting completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_60_81/fk
Optimized parameters: Dw=3.0, rho=0.0001, model_time=52.712245261695465

--- Phase 2: Fitting time scale using week 81 ---
Loading data for week 81...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-081
Running time scale optimization with 15 generations...
generations  1 / 16
Running with time scale: 0.1125, model time: 55.1
Generation 1, Scale: 0.1125, Loss: 0.487152, Time: 15.79s
Running with time scale: 0.6690, model time: 66.8
Generation 1, Scale: 0.6690, Loss: 0.503355, Time: 17.19s
Running with time scale: 1.1009, model time: 75.8
Generation 1, Scale: 1.1009, Loss: 0.516303, Time: 18.28s
generations  2 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 2, Scale: 0.1000, Loss: 0.486734, Time: 15.79s
Running with time scale: 0.1000, model time: 54.8
Generation 2, Scale: 0.1000, Loss: 0.486734, Time: 15.64s
Running with time scale: 0.1000, model time: 54.8
Generation 2, Scale: 0.1000, Loss: 0.486734, Time: 15.41s
Running with time scale: 1.3294, model time: 80.6
Generation 2, Scale: 1.3294, Loss: 0.523520, Time: 16.04s
generations  3 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 3, Scale: 0.1000, Loss: 0.486734, Time: 15.77s
Running with time scale: 0.2843, model time: 58.7
Generation 3, Scale: 0.2843, Loss: 0.492196, Time: 16.28s
Running with time scale: 0.6924, model time: 67.3
Generation 3, Scale: 0.6924, Loss: 0.504107, Time: 16.42s
generations  4 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 4, Scale: 0.1000, Loss: 0.486734, Time: 15.75s
Running with time scale: 0.1000, model time: 54.8
Generation 4, Scale: 0.1000, Loss: 0.486734, Time: 15.64s
Running with time scale: 0.5980, model time: 65.3
Generation 4, Scale: 0.5980, Loss: 0.501040, Time: 16.26s
generations  5 / 16
Running with time scale: 0.1371, model time: 55.6
Generation 5, Scale: 0.1371, Loss: 0.487821, Time: 15.81s
Running with time scale: 0.1000, model time: 54.8
Generation 5, Scale: 0.1000, Loss: 0.486734, Time: 15.70s
Running with time scale: 0.1000, model time: 54.8
Generation 5, Scale: 0.1000, Loss: 0.486734, Time: 15.46s
generations  6 / 16
Running with time scale: 0.1913, model time: 56.7
Generation 6, Scale: 0.1913, Loss: 0.489341, Time: 16.08s
Running with time scale: 0.1000, model time: 54.8
Generation 6, Scale: 0.1000, Loss: 0.486734, Time: 15.69s
Running with time scale: 1.2766, model time: 79.5
Generation 6, Scale: 1.2766, Loss: 0.522012, Time: 17.97s
generations  7 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 7, Scale: 0.1000, Loss: 0.486734, Time: 15.68s
Running with time scale: 0.1000, model time: 54.8
Generation 7, Scale: 0.1000, Loss: 0.486734, Time: 15.55s
Running with time scale: 0.3814, model time: 60.7
Generation 7, Scale: 0.3814, Loss: 0.494875, Time: 15.78s
generations  8 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 8, Scale: 0.1000, Loss: 0.486734, Time: 15.67s
Running with time scale: 0.1000, model time: 54.8
Generation 8, Scale: 0.1000, Loss: 0.486734, Time: 15.68s
Running with time scale: 0.1000, model time: 54.8
Generation 8, Scale: 0.1000, Loss: 0.486734, Time: 15.42s
generations  9 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 9, Scale: 0.1000, Loss: 0.486734, Time: 15.79s
Running with time scale: 0.1000, model time: 54.8
Generation 9, Scale: 0.1000, Loss: 0.486734, Time: 15.49s
Running with time scale: 1.3679, model time: 81.4
Generation 9, Scale: 1.3679, Loss: 0.524784, Time: 18.00s
generations  10 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 10, Scale: 0.1000, Loss: 0.486734, Time: 15.80s
Running with time scale: 0.1000, model time: 54.8
Generation 10, Scale: 0.1000, Loss: 0.486734, Time: 15.73s
Running with time scale: 0.8909, model time: 71.4
Generation 10, Scale: 0.8909, Loss: 0.509960, Time: 16.83s
generations  11 / 16
Running with time scale: 1.0370, model time: 74.5
Generation 11, Scale: 1.0370, Loss: 0.514424, Time: 19.07s
Running with time scale: 1.5180, model time: 84.6
Generation 11, Scale: 1.5180, Loss: 0.529793, Time: 20.13s
Running with time scale: 7.2507, model time: 205.0
Generation 11, Scale: 7.2507, Loss: 0.760153, Time: 30.04s
generations  12 / 16
Running with time scale: 0.1404, model time: 55.7
Generation 12, Scale: 0.1404, Loss: 0.487822, Time: 16.01s
Running with time scale: 0.1000, model time: 54.8
Generation 12, Scale: 0.1000, Loss: 0.486734, Time: 15.68s
Running with time scale: 0.6110, model time: 65.5
Generation 12, Scale: 0.6110, Loss: 0.501542, Time: 17.28s
generations  13 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 13, Scale: 0.1000, Loss: 0.486734, Time: 15.75s
Running with time scale: 0.1000, model time: 54.8
Generation 13, Scale: 0.1000, Loss: 0.486734, Time: 15.46s
Running with time scale: 5.1985, model time: 161.9
Generation 13, Scale: 5.1985, Loss: 0.665093, Time: 24.56s
generations  14 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 14, Scale: 0.1000, Loss: 0.486734, Time: 15.74s
Running with time scale: 0.1000, model time: 54.8
Generation 14, Scale: 0.1000, Loss: 0.486734, Time: 15.49s
Running with time scale: 9.3319, model time: 248.7
Generation 14, Scale: 9.3319, Loss: 0.863326, Time: 31.78s
generations  15 / 16
Running with time scale: 0.1000, model time: 54.8
Generation 15, Scale: 0.1000, Loss: 0.486734, Time: 15.83s
Running with time scale: 1.3438, model time: 80.9
Generation 15, Scale: 1.3438, Loss: 0.524070, Time: 19.20s
Running with time scale: 5.6640, model time: 171.7
Generation 15, Scale: 5.6640, Loss: 0.685301, Time: 26.53s
Time scale optimization completed. Best loss: 0.486734
Best time scale: 0.100000
Running with time scale: 0.1000, model time: 54.8

Time scale fitting completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_60_81/scale
Optimized time scale: 0.1000

--- Phase 3: Testing prediction on week 81 ---
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-081
Predicting tumor at time 81 (reference: 60)
Physical time difference: 21
Time scale: 0.1000
Model time: 54.8
Number of simulation timesteps: 745
Test prediction Dice coefficient: 0.5156

Test prediction completed. Results saved to /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_60_81/test

Pipeline completed successfully!
Summary report generated: /scratch/bcsl/jyin15/Tumor/BioPhysModel/time_scale_experiment/Patient-042_weeks_60_81/reports/Patient-042_summary_report.html
